Frame,Visibility,X,Y,X_fused,Y_fused,is_interpolated,track_status
184,1,409,342,409.0,342.0,False,detected
185,1,409,342,409.0,342.0,False,detected
186,1,409,342,409.0,342.0,False,detected
187,1,407,342,407.0,342.0,False,detected
188,1,416,311,416.0,311.0,False,detected
189,1,416,315,416.0,315.0,False,detected
190,1,416,315,416.0,315.0,False,detected
191,1,416,315,416.0,315.0,False,detected
192,1,424,315,424.0,315.0,False,detected
193,1,424,315,424.0,315.0,False,detected
194,1,424,315,424.0,315.0,False,detected
195,1,424,315,424.0,315.0,False,detected
196,1,433,342,433.0,342.0,False,detected
197,1,433,342,433.0,342.0,False,detected
198,1,433,342,433.0,342.0,False,detected
199,1,433,342,433.0,342.0,False,detected
200,1,438,382,438.0,382.0,False,detected
201,1,440,382,440.0,382.0,False,detected
202,1,440,382,440.0,382.0,False,detected
203,1,440,382,440.0,382.0,False,detected
204,0,0,0,440.98230088495575,382.1946902654867,True,interpolated
205,0,0,0,441.9646017699115,382.3893805309734,True,interpolated
206,0,0,0,442.94690265486724,382.5840707964602,True,interpolated
207,0,0,0,443.929203539823,382.7787610619469,True,interpolated
208,0,0,0,444.91150442477874,382.9734513274336,True,interpolated
209,0,0,0,445.8938053097345,383.16814159292034,True,interpolated
210,0,0,0,446.87610619469024,383.3628318584071,True,interpolated
211,0,0,0,447.85840707964604,383.5575221238938,True,interpolated
212,0,0,0,,,False,missing
213,0,0,0,,,False,missing
214,0,0,0,,,False,missing
215,0,0,0,,,False,missing
216,0,0,0,,,False,missing
217,0,0,0,,,False,missing
218,0,0,0,,,False,missing
219,0,0,0,,,False,missing
220,0,0,0,,,False,missing
221,0,0,0,,,False,missing
222,0,0,0,,,False,missing
223,0,0,0,,,False,missing
224,0,0,0,,,False,missing
225,0,0,0,,,False,missing
226,0,0,0,,,False,missing
227,0,0,0,,,False,missing
228,0,0,0,,,False,missing
229,0,0,0,,,False,missing
230,0,0,0,,,False,missing
231,0,0,0,,,False,missing
232,0,0,0,,,False,missing
233,0,0,0,,,False,missing
234,0,0,0,,,False,missing
235,0,0,0,,,False,missing
