Frame,Visibility,X,Y
398,1,225,537
399,1,233,542
400,1,239,548
401,1,252,559
402,1,267,568
403,1,286,582
404,1,302,591
405,1,317,604
406,1,326,617
407,1,333,631
408,1,341,648
409,1,347,657
410,1,357,684
411,1,355,684
412,1,340,600
413,1,331,533
414,1,316,462
415,1,312,440
416,1,310,435
417,1,306,417
418,1,299,391
419,1,295,382
420,1,292,373
421,1,292,373
422,1,286,364
423,1,284,364
424,1,282,364
425,1,281,364
426,1,279,364
427,1,278,368
428,1,277,373
429,1,275,382
430,1,274,386
431,1,274,395
432,1,272,404
433,1,272,413
434,1,261,488
435,1,261,484
436,1,253,528
437,1,246,568
438,1,236,622
439,1,232,644
440,1,232,644
441,1,226,666
442,1,219,711
443,1,219,740
444,1,224,776
445,1,233,774
446,1,250,735
447,1,261,697
448,1,260,685
449,1,264,678
450,1,267,658
451,1,277,627
452,1,287,584
453,1,294,539
454,1,300,468
455,1,320,439
456,1,331,388
457,1,343,317
458,1,343,317
459,1,343,317
460,1,343,317
461,1,394,398
462,1,422,404
463,1,453,486
464,1,452,600
465,1,472,647
466,1,492,681
467,1,506,713
468,1,512,733
469,1,515,743
470,1,520,746
471,1,518,742
472,1,518,742
473,1,518,746
474,1,518,746
475,1,518,751
476,1,517,751
477,1,516,755
478,1,514,755
479,1,508,754
480,1,502,748
481,1,488,724
482,1,475,693
483,1,453,646
484,1,437,590
485,1,429,569
486,1,415,509
487,1,377,413
488,1,343,317
489,1,343,317
490,1,343,317
491,1,343,317
492,1,343,317
493,1,343,317
494,1,343,317
495,1,343,317
496,1,343,317
497,1,343,317
498,1,343,317
499,1,343,317
500,1,343,317
501,1,343,317
502,1,343,317
503,1,343,317
504,1,343,317
505,1,343,317
506,1,343,317
507,1,343,317
508,1,343,317
509,1,343,317
510,1,343,317
511,1,334,370
512,1,321,388
513,1,308,444
514,1,299,505
515,1,285,495
516,1,258,497
517,1,249,494
518,1,271,504
519,1,284,515
520,1,288,528
521,1,351,485
522,1,383,470
523,1,396,462
524,1,396,462
525,1,416,453
526,1,437,444
527,1,447,444
528,1,453,440
529,1,462,436
530,1,470,435
531,1,475,435
532,1,481,435
533,1,486,435
534,1,492,440
535,1,496,440
536,1,499,444
537,1,504,448
538,1,507,448
539,1,511,453
540,1,513,457
541,1,517,466
542,1,520,470
543,1,521,475
544,1,523,480
545,1,525,488
546,1,528,502
547,1,530,511
548,1,530,511
549,1,532,520
550,1,538,537
551,1,541,542
552,1,544,551
553,1,544,551
554,1,519,574
555,1,448,554
556,1,385,466
557,1,331,434
558,1,294,437
559,1,254,426
560,1,254,426
561,1,255,426
562,1,260,426
563,1,264,426
564,1,268,426
565,1,510,448
566,1,534,465
567,1,523,449
568,1,516,482
569,1,497,514
570,1,455,499
571,1,497,439
572,1,530,411
573,1,566,399
574,1,555,348
575,1,558,276
576,1,587,424
577,1,612,521
578,1,631,536
579,1,638,603
580,1,662,626
581,1,629,672
582,1,601,667
583,1,543,621
584,1,486,529
585,1,472,529
586,1,498,558
587,1,453,520
588,1,421,425
589,1,397,342
590,1,343,317
591,1,343,317
592,1,343,317
593,1,343,317
594,1,343,317
595,1,343,317
596,1,343,317
597,1,343,317
598,1,343,317
599,1,343,317
600,1,343,317
601,1,343,317
602,1,343,317
603,1,343,317
604,1,343,317
605,1,343,317
606,1,343,317
607,1,343,317
608,1,326,334
609,1,302,349
610,1,266,362
611,1,237,383
612,1,200,379
613,1,169,299
614,1,153,272
615,1,133,277
616,1,131,279
617,1,104,280
618,1,101,306
619,1,98,337
620,1,95,364
621,1,94,391
622,1,92,422
623,1,113,481
624,1,108,513
625,1,87,511
626,1,112,533
627,1,113,533
628,1,123,528
629,1,132,528
630,1,142,533
631,1,146,533
632,1,147,533
633,1,151,542
634,1,157,551
635,1,158,555
636,1,161,560
637,1,163,564
638,1,156,576
639,1,156,601
640,1,159,590
641,1,161,546
642,1,163,511
643,1,158,480
644,1,156,453
645,1,153,431
646,1,150,413
647,1,147,395
648,1,144,382
649,1,142,368
650,1,137,355
651,1,137,355
652,1,135,351
653,1,133,346
654,1,127,346
655,1,127,346
656,1,126,346
657,1,123,355
658,1,120,368
659,1,118,377
660,1,116,386
661,1,116,391
662,1,112,417
663,1,111,431
664,1,109,448
665,1,134,487
666,1,132,524
667,1,125,538
668,1,104,528
669,1,147,533
670,1,137,508
671,1,144,494
672,1,162,501
673,1,170,488
674,1,176,501
675,1,192,490
676,1,200,538
677,1,190,519
678,1,185,513
679,1,170,526
680,1,160,545
681,1,157,542
682,1,153,551
683,1,149,555
684,1,149,555
685,1,142,560
686,1,133,582
687,1,129,591
688,1,139,608
689,1,139,649
690,1,141,675
691,1,142,670
692,1,141,664
693,1,149,635
694,1,154,620
695,1,158,600
696,1,172,582
697,1,185,568
698,1,198,560
699,1,209,551
700,1,217,542
701,1,226,537
702,1,243,533
703,1,243,537
704,1,249,537
705,1,252,539
706,1,258,547
707,1,267,553
708,1,271,569
709,1,272,568
710,1,271,573
711,1,260,568
712,1,248,564
713,1,248,564
714,1,223,573
715,1,215,577
716,1,202,582
717,1,194,591
718,1,184,600
719,1,175,608
