Frame,Visibility,X,Y
398,1,225,537
399,1,234,542
400,0,0,0
401,0,0,0
402,0,0,0
403,0,0,0
404,0,0,0
405,1,317,604
406,1,326,617
407,1,333,631
408,1,341,648
409,1,347,657
410,1,357,684
411,1,355,684
412,0,0,0
413,1,331,533
414,1,316,462
415,1,312,440
416,1,310,435
417,1,306,417
418,1,299,391
419,1,295,382
420,1,292,373
421,1,292,373
422,1,286,364
423,1,284,364
424,1,282,364
425,1,281,364
426,1,279,364
427,1,278,368
428,1,277,373
429,1,275,382
430,1,274,386
431,1,274,395
432,1,272,404
433,1,272,413
434,1,261,488
435,1,261,484
436,1,253,528
437,1,246,568
438,1,236,622
439,1,232,644
440,1,232,644
441,1,227,666
442,1,219,711
443,0,0,0
444,0,0,0
445,0,0,0
446,0,0,0
447,1,261,697
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,1,520,746
471,1,518,742
472,1,518,742
473,1,518,746
474,1,518,746
475,1,518,751
476,1,517,751
477,1,516,755
478,1,514,755
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
490,0,0,0
491,0,0,0
492,0,0,0
493,0,0,0
494,0,0,0
495,0,0,0
496,0,0,0
497,0,0,0
498,0,0,0
499,0,0,0
500,0,0,0
501,0,0,0
502,0,0,0
503,0,0,0
504,0,0,0
505,0,0,0
506,0,0,0
507,0,0,0
508,0,0,0
509,0,0,0
510,0,0,0
511,0,0,0
512,0,0,0
513,0,0,0
514,0,0,0
515,0,0,0
516,0,0,0
517,0,0,0
518,0,0,0
519,0,0,0
520,1,288,528
521,0,0,0
522,1,383,471
523,1,396,462
524,1,397,462
525,1,416,453
526,1,437,444
527,1,447,444
528,1,454,440
529,0,0,0
530,1,471,435
531,1,475,435
532,1,482,435
533,1,486,435
534,1,492,440
535,1,496,440
536,1,500,444
537,1,504,448
538,1,507,448
539,1,511,453
540,1,513,457
541,1,517,466
542,1,520,471
543,1,521,475
544,1,523,480
545,1,525,488
546,1,528,502
547,1,530,511
548,1,530,511
549,1,532,520
550,1,538,537
551,1,541,542
552,1,544,551
553,1,544,551
554,0,0,0
555,0,0,0
556,0,0,0
557,0,0,0
558,0,0,0
559,1,254,426
560,1,254,426
561,1,255,426
562,1,260,426
563,1,264,426
